placeId,brand,flow,BLOCK_Estimate!!Total:!!Male:,BLOCK_Estimate!!Total:!!Male:!!Under 5 years,BLOCK_Estimate!!Total:!!Male:!!5 to 9 years,BLOCK_Estimate!!Total:!!Male:!!10 to 14 years,BLOCK_Estimate!!Total:!!Male:!!15 to 17 years,BLOCK_Estimate!!Total:!!Male:!!18 and 19 years,BLOCK_Estimate!!Total:!!Male:!!20 years,BLOCK_Estimate!!Total:!!Male:!!21 years,BLOCK_Estimate!!Total:!!Male:!!22 to 24 years,BLOCK_Estimate!!Total:!!Male:!!25 to 29 years,BLOCK_Estimate!!Total:!!Male:!!30 to 34 years,BLOCK_Estimate!!Total:!!Male:!!35 to 39 years,BLOCK_Estimate!!Total:!!Male:!!40 to 44 years,BLOCK_Estimate!!Total:!!Male:!!45 to 49 years,BLOCK_Estimate!!Total:!!Male:!!50 to 54 years,BLOCK_Estimate!!Total:!!Male:!!55 to 59 years,BLOCK_Estimate!!Total:!!Male:!!60 and 61 years,BLOCK_Estimate!!Total:!!Male:!!62 to 64 years,BLOCK_Estimate!!Total:!!Male:!!65 and 66 years,BLOCK_Estimate!!Total:!!Male:!!67 to 69 years,BLOCK_Estimate!!Total:!!Male:!!70 to 74 years,BLOCK_Estimate!!Total:!!Male:!!75 to 79 years,BLOCK_Estimate!!Total:!!Male:!!80 to 84 years,BLOCK_Estimate!!Total:!!Male:!!85 years and over,BLOCK_Estimate!!Total:!!Female:,BLOCK_Estimate!!Total:!!Female:!!Under 5 years,BLOCK_Estimate!!Total:!!Female:!!5 to 9 years,BLOCK_Estimate!!Total:!!Female:!!10 to 14 years,BLOCK_Estimate!!Total:!!Female:!!15 to 17 years,BLOCK_Estimate!!Total:!!Female:!!18 and 19 years,BLOCK_Estimate!!Total:!!Female:!!20 years,BLOCK_Estimate!!Total:!!Female:!!21 years,BLOCK_Estimate!!Total:!!Female:!!22 to 24 years,BLOCK_Estimate!!Total:!!Female:!!25 to 29 years,BLOCK_Estimate!!Total:!!Female:!!30 to 34 years,BLOCK_Estimate!!Total:!!Female:!!35 to 39 years,BLOCK_Estimate!!Total:!!Female:!!40 to 44 years,BLOCK_Estimate!!Total:!!Female:!!45 to 49 years,BLOCK_Estimate!!Total:!!Female:!!50 to 54 years,BLOCK_Estimate!!Total:!!Female:!!55 to 59 years,BLOCK_Estimate!!Total:!!Female:!!60 and 61 years,BLOCK_Estimate!!Total:!!Female:!!62 to 64 years,BLOCK_Estimate!!Total:!!Female:!!65 and 66 years,BLOCK_Estimate!!Total:!!Female:!!67 to 69 years,BLOCK_Estimate!!Total:!!Female:!!70 to 74 years,BLOCK_Estimate!!Total:!!Female:!!75 to 79 years,BLOCK_Estimate!!Total:!!Female:!!80 to 84 years,BLOCK_Estimate!!Total:!!Female:!!85 years and over,BLOCK_Estimate!!Total:!!White alone,BLOCK_Estimate!!Total:!!Black or African American alone,BLOCK_Estimate!!Total:!!American Indian and Alaska Native alone,BLOCK_Estimate!!Total:!!Asian alone,BLOCK_Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,BLOCK_Estimate!!Total:!!Some Other Race alone,"BLOCK_Estimate!!Total:!!Less than $10,000","BLOCK_Estimate!!Total:!!$10,000 to $14,999","BLOCK_Estimate!!Total:!!$15,000 to $19,999","BLOCK_Estimate!!Total:!!$20,000 to $24,999","BLOCK_Estimate!!Total:!!$25,000 to $29,999","BLOCK_Estimate!!Total:!!$30,000 to $34,999","BLOCK_Estimate!!Total:!!$35,000 to $39,999","BLOCK_Estimate!!Total:!!$40,000 to $44,999","BLOCK_Estimate!!Total:!!$45,000 to $49,999","BLOCK_Estimate!!Total:!!$50,000 to $59,999","BLOCK_Estimate!!Total:!!$60,000 to $74,999","BLOCK_Estimate!!Total:!!$75,000 to $99,999","BLOCK_Estimate!!Total:!!$100,000 to $124,999","BLOCK_Estimate!!Total:!!$125,000 to $149,999","BLOCK_Estimate!!Total:!!$150,000 to $199,999","BLOCK_Estimate!!Total:!!$200,000 or more",BLOCK_Estimate!!Total:!!Occupied,BLOCK_Estimate!!Total:!!Vacant
235969,Taco Bell,29,103,0,0,0,0,0,0,0,6,0,21,5,0,0,7,15,0,6,37,0,6,0,0,0,34,0,0,0,0,0,0,0,3,0,0,14,0,11,0,0,0,0,6,0,0,0,0,0,23,74,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,46,66
288294,Popeyes,29,103,0,0,0,0,0,0,0,6,0,21,5,0,0,7,15,0,6,37,0,6,0,0,0,34,0,0,0,0,0,0,0,3,0,0,14,0,11,0,0,0,0,6,0,0,0,0,0,23,74,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,46,66
314112,Five Guys,21,685,0,0,0,0,0,0,0,40,37,23,125,0,40,43,0,114,122,0,0,81,44,16,0,1164,0,0,41,37,0,0,12,28,49,260,30,55,0,12,223,36,90,0,124,104,0,28,35,1450,173,0,96,0,32,12,0,0,0,0,0,0,0,36,0,175,57,0,0,0,83,1258,50
352292,McDonald's,9,770,94,0,0,0,0,0,0,23,0,84,148,55,33,138,101,0,0,0,29,65,0,0,0,297,0,0,0,0,0,0,0,0,50,81,100,18,0,0,0,0,0,0,0,23,25,0,0,766,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,111,101,532,0
618845,Pret a Manger,61,1454,0,54,6,13,140,0,0,58,373,204,159,56,73,22,168,32,57,0,1,19,0,15,4,1290,20,59,0,58,2,50,0,48,318,185,0,0,94,96,41,85,23,37,91,43,0,40,0,1523,128,0,934,0,111,0,0,2,0,4,0,13,0,3,0,19,34,27,51,0,339,1393,59
905753,Wendy's,18,680,35,0,120,25,23,0,12,0,149,37,27,41,0,100,81,0,0,0,0,9,0,0,21,613,72,0,80,11,0,0,0,37,63,91,76,48,73,27,17,0,0,0,8,0,10,0,0,436,372,0,8,0,351,0,28,71,0,0,24,11,17,0,0,36,12,23,11,36,9,490,59
909692,Shake Shack,1,1050,0,0,0,0,0,0,0,27,0,104,0,1,0,155,82,0,26,268,101,54,142,39,51,784,0,85,0,0,0,0,0,27,0,0,0,0,0,25,46,0,19,24,0,104,21,26,407,984,68,0,48,0,510,0,26,0,355,0,0,0,79,18,0,0,21,0,0,21,93,1180,0
1216666,Pret a Manger,84,15280,598,1713,715,299,116,18,104,369,1766,1875,2892,1372,1063,326,628,214,244,25,755,82,72,0,34,17679,493,927,1217,213,29,12,297,684,1355,3252,1727,2081,1188,1010,813,312,156,216,243,474,269,524,187,13570,8587,0,5679,0,2249,936,297,185,859,203,388,0,0,223,3,304,501,392,209,446,2173,18463,2926
1230361,Taco Bell,157,3446,0,0,18,0,0,34,0,290,457,766,371,36,326,138,476,0,109,10,116,0,34,239,26,3244,0,88,98,20,0,0,0,159,490,218,212,66,277,304,470,98,52,0,86,255,242,24,85,2854,2026,0,820,0,802,82,0,82,86,0,0,0,0,0,130,92,112,54,28,136,372,4005,279
